Code,Country,Year,CO2_Emissions,GDP,Ag_perc_GDP,Agri_GDP,Population,Total_Land_sq_km,Ag_perc_land,Agri_Land_sq_km,Total_Crop_Yield_t_ha,Total_Pesticides,Quartile,Z-Score,Is-Outlier
ATG,Antigua and Barbuda,1990,210.0,844708860.0,0.017806330999999998,15041165.559792658,63087,440.0,20.4545454545455,9000.00000000002,166.63539759,289.45,Q1,-0.6319113194913728,False
ATG,Antigua and Barbuda,1991,220.0,835473800.0,0.01779934,14870882.227292,63406,440.0,20.4545454545455,9000.00000000002,164.248498396,289.45,Q1,-0.6285131459579391,False
ATG,Antigua and Barbuda,1992,290.0,835783230.0,0.018025904,15065748.26878992,64421,440.0,20.4545454545455,9000.00000000002,167.128795198,289.45,Q1,-0.6047259312239032,False
ATG,Antigua and Barbuda,1993,250.0,856673800.0,0.017453649,14952083.812696202,65600,440.0,20.4545454545455,9000.00000000002,163.67559689799998,289.45,Q1,-0.6183186253576379,False
ATG,Antigua and Barbuda,1994,250.0,937685760.0,0.015765398,14782989.20533248,66860,440.0,20.4545454545455,9000.00000000002,161.764396298,289.45,Q1,-0.6183186253576379,False
ATG,Antigua and Barbuda,1995,270.0,861337660.0,0.01643078,14152449.5971748,68209,440.0,20.4545454545455,9000.00000000002,157.882697083,289.45,Q1,-0.6115222782907705,False
ATG,Antigua and Barbuda,1996,280.0,932192300.0,0.016153635,15058294.164010499,69628,440.0,20.4545454545455,9000.00000000002,158.67989688300003,289.45,Q1,-0.6081241047573368,False
ATG,Antigua and Barbuda,1997,290.0,952430100.0,0.017190247000000002,16372508.669234702,71071,440.0,20.4545454545455,9000.00000000002,157.551295983,289.45,Q1,-0.6047259312239032,False
ATG,Antigua and Barbuda,1998,320.0,653438500.0,0.016664801,10889422.5682385,72429,440.0,20.4545454545455,9000.00000000002,156.674697183,289.45,Q1,-0.594531410623602,False
ATG,Antigua and Barbuda,1999,330.0,948620100.0,0.016676818,15819964.7588418,73681,440.0,20.4545454545455,9000.00000000002,156.161195983,265.94,Q1,-0.5911332370901683,False
